,Unnamed: 0,stamp,humidity,temperature,cfa,cfb,date
0,86,1682980737,35.0,67.0,2.36,1.46,2023-05-01 22:38:57
1,1323,1682980857,36.0,67.0,2.52,1.82,2023-05-01 22:40:57
2,717,1682980977,36.0,67.0,2.63,2.04,2023-05-01 22:42:57
3,831,1682981097,36.0,67.0,2.4,1.77,2023-05-01 22:44:57
4,260,1682981217,37.0,67.0,3.15,1.98,2023-05-01 22:46:57
5,1268,1682981337,36.0,67.0,2.68,2.25,2023-05-01 22:48:57
6,1188,1682981457,36.0,67.0,2.91,2.35,2023-05-01 22:50:57
7,1189,1682981577,36.0,67.0,3.14,1.52,2023-05-01 22:52:57
8,507,1682981697,37.0,66.0,3.24,2.48,2023-05-01 22:54:57
9,833,1682981817,37.0,66.0,2.41,2.12,2023-05-01 22:56:57
10,1187,1682981937,37.0,66.0,1.98,2.23,2023-05-01 22:58:57
11,1270,1682982057,37.0,62.0,2.93,2.15,2023-05-01 23:00:57
12,1190,1682982177,37.0,65.0,2.46,2.32,2023-05-01 23:02:57
13,750,1682982297,38.0,65.0,2.93,1.59,2023-05-01 23:04:57
14,85,1682982417,39.0,65.0,3.27,2.36,2023-05-01 23:06:57
15,680,1682982537,38.0,65.0,3.25,3.05,2023-05-01 23:08:57
16,911,1682982657,39.0,65.0,2.47,2.25,2023-05-01 23:10:57
17,506,1682982777,39.0,65.0,2.43,2.26,2023-05-01 23:12:57
18,601,1682982897,39.0,65.0,3.17,2.23,2023-05-01 23:14:57
19,174,1682983020,39.0,65.0,2.84,2.0,2023-05-01 23:17:00
20,548,1682983137,39.0,64.0,2.96,2.58,2023-05-01 23:18:57
21,173,1682983257,39.0,64.0,2.21,2.09,2023-05-01 23:20:57
22,1144,1682983377,39.0,64.0,2.82,2.23,2023-05-01 23:22:57
23,1003,1682983497,39.0,64.0,2.07,1.65,2023-05-01 23:24:57
24,1400,1682983617,40.0,64.0,3.07,3.0,2023-05-01 23:26:57
25,381,1682983737,40.0,64.0,3.11,1.98,2023-05-01 23:28:57
26,549,1682983857,40.0,64.0,2.88,2.25,2023-05-01 23:30:57
27,47,1682983977,40.0,64.0,3.05,2.48,2023-05-01 23:32:57
28,171,1682984097,40.0,64.0,2.95,2.21,2023-05-01 23:34:57
29,1145,1682984218,40.0,63.0,3.53,2.35,2023-05-01 23:36:58
30,1269,1682984337,40.0,63.0,3.84,2.08,2023-05-01 23:38:57
31,463,1682984457,41.0,63.0,2.96,2.39,2023-05-01 23:40:57
32,550,1682984577,41.0,63.0,2.79,3.4,2023-05-01 23:42:57
33,87,1682984697,41.0,63.0,3.22,2.27,2023-05-01 23:44:57
34,4,1682984817,41.0,63.0,2.25,2.05,2023-05-01 23:46:57
35,1071,1682984937,41.0,63.0,2.96,2.5,2023-05-01 23:48:57
36,832,1682985058,41.0,63.0,1.64,2.32,2023-05-01 23:50:58
37,1399,1682985177,41.0,63.0,3.53,2.35,2023-05-01 23:52:57
38,1105,1682985297,41.0,63.0,3.39,2.05,2023-05-01 23:54:57
39,172,1682985417,42.0,63.0,3.07,2.64,2023-05-01 23:56:57
40,797,1682985537,42.0,63.0,2.54,2.92,2023-05-01 23:58:57
41,261,1682985659,42.0,63.0,2.14,2.93,2023-05-02 00:00:59
